ID	Concept	Doculect	Value
1	air	NCC-Mumfu-4	gbɛ́ / gbɛ́
2	air	MEA-Mumfu-3	gbɛ́ / gbɛ́
3	animal	NCC-Mumfu-4	ʃɔ̀ / ʃɔ̀
4	animal	MEA-Mumfu-3	ʃò / ʃo᷇ː
5	axe	NCC-Mumfu-4	tʃám / tʃám
6	axe	MEA-Mumfu-3	tʃám / tʃáːmə́
7	bag	NCC-Mumfu-4	bàː / bàː
8	bag	MEA-Mumfu-3	bàː / ba᷇ː
9	bamboo rattle	NCC-Mumfu-4	fʊ̂ː / fʊ̂ː
10	bamboo rattle	MEA-Mumfu-3	fʊ̂ / fʊ̂
11	banana	NCC-Mumfu-4	kɥʊ̌k / kɥʊ̌k
12	banana	MEA-Mumfu-3	kɥʊ̌ːk / kɥʊ̌ːk
13	basket	NCC-Mumfu-4	kʲà / kʲà
14	basket	MEA-Mumfu-3	kʲà / kʲa᷇ː
15	bat	NCC-Mumfu-4	mgbʊ̀~fə̀mgbʊ̀ / mʊ̀mgbʊ̄~mgbʊ̀
16	bat	MEA-Mumfu-3	fə̀mgbʊ̀ / mʊ̀mgbʊ̄
17	bed	NCC-Mumfu-4	jám / jám
18	bed	MEA-Mumfu-3	jām / jám
19	belly	NCC-Mumfu-4	kú / kú
20	belly	MEA-Mumfu-3	kʊ́ː / kʊ́ː
21	bird	NCC-Mumfu-4	ɲʷɛ́ʔn̩ / ɲʷɛ́ʔn
22	bird	MEA-Mumfu-3	ɲʷɛ̂n / ɲʷɛ᷇ːn
23	bitter leaf	NCC-Mumfu-4	kɥán / kɥán
24	bitter leaf	MEA-Mumfu-3	kɥán / kɥán
25	blood	NCC-Mumfu-4	m̀fɔ́ʔm / m̀fɔ́ʔm
26	blood	MEA-Mumfu-3	m̀fɔ́m / m̀fɔ́m
27	book	NCC-Mumfu-4	ŋwàʔtà~ŋwàʔtè / ŋwàʔtà
28	book	MEA-Mumfu-3	ŋwâtâ / ŋwâtâ
29	breast	NCC-Mumfu-4	bʲân / bʲân
30	breast	MEA-Mumfu-3	bʲân / bʲân
31	bridge	NCC-Mumfu-4	dʒɔ̂ː / dʒɔ̂ː
32	bridge	MEA-Mumfu-3	dʒo᷇ː / dʒo᷇ː
33	broom	NCC-Mumfu-4	bʲá / bʲá
34	broom	MEA-Mumfu-3	bʲá / bʲâː
35	camwood	NCC-Mumfu-4	kóʔ / kóʔ
36	camwood	MEA-Mumfu-3	ŋkʊ᷇ːk / ŋkʊ᷇ːk
37	cap	NCC-Mumfu-4	fɔ᷇ː / fɔ᷇ː
38	cap	MEA-Mumfu-3	fôː ~ fɔ̂ː / fo᷇ː ~ fɔ̂ː
39	case (court) (n)	NCC-Mumfu-4	sáʔ / sáʔ
40	case (court) (n)	MEA-Mumfu-3	sáʔ / sáʔ
41	cat	NCC-Mumfu-4	fə̀bʊ̂s ~ bʊ̌ːs ~ pʊ̌ːs / bʊ̌ːs ~ pʊ̌ːs
42	cat	MEA-Mumfu-3	mǐːnʊ̄ / mǐːnʊ̄
43	caterpillar	NCC-Mumfu-4	ḿmgbɛ́ː / ḿmgbɛ́ː
44	caterpillar	MEA-Mumfu-3	mɛ̀mɛ̌ʔ / mɛ̀mɛ̌ʔ
45	chair	NCC-Mumfu-4	ŋ̀kàk / ŋ̀kâk
46	chair	MEA-Mumfu-3	ŋkàk / ŋka᷇ːk
47	chief	NCC-Mumfu-4	ŋ̀kʊ̌ːŋ / ŋ̀kʊ̌ːŋbə́
48	chief	MEA-Mumfu-3	ŋkʊ̌ːŋ / bə̀ŋkʊ̌ŋ
49	child	NCC-Mumfu-4	wɛ́ʔń̩ / ɲɔ́ʔḿ̩
50	child	MEA-Mumfu-3	wɛ́n / ɲɔ᷇ːm ~ ɲɔ̄m
51	cloth	NCC-Mumfu-4	sɘ̂~sə̂ / sɘ̂~sə̂
52	cloth	MEA-Mumfu-3	sə̂ / sə᷇ː
53	cocoyam	NCC-Mumfu-4	m̀fʊ̌ːŋ / m̀fʊ̌ːŋ
54	cocoyam	MEA-Mumfu-3	m̀fɛ̄n / m̀fɛ̄n
55	compound	NCC-Mumfu-4	tôʔ / to᷇ːʔ
56	compound	MEA-Mumfu-3	tôʔ / to᷇ːʔ
57	corn	NCC-Mumfu-4	gâː / gâː
58	corn	MEA-Mumfu-3	gâ / gâ
59	cow, cattle	NCC-Mumfu-4	mbɔ̀ŋ / ḿmbɔ̂ŋ
60	cow, cattle	MEA-Mumfu-3	mbɔ̀ŋ / mbɔ̂ŋ
61	crab	NCC-Mumfu-4	káʔm̩̀ / káʔm̩̀
62	crab	MEA-Mumfu-3	kāʔm̩̄ / káʔm̩̄
63	cricket	NCC-Mumfu-4	gʲɪ̀ŋkà / gʲɪ̀ŋkà
64	cricket	MEA-Mumfu-3	gʲə̀ŋkà / gʲə̀ŋkà
65	cup	NCC-Mumfu-4	bà / bà
66	cup	MEA-Mumfu-3	bà / bâ
67	cutlass	NCC-Mumfu-4	ḿmbɛ᷇ː ~ dǎː / ḿmbɛ᷇ː ~ dà
68	cutlass	MEA-Mumfu-3	ḿbɛ᷇ː ~ dǎː / ḿbɛ᷇ː ~ dǎː
69	day	NCC-Mumfu-4	tɔ́ː / tɔ́
70	day	MEA-Mumfu-3	tɔ̄ / tɔ̄ː
71	devil	NCC-Mumfu-4	kɛ́ / kɛ́
72	devil	MEA-Mumfu-3	kɛ́ / kɛ́
73	dish (pan)	NCC-Mumfu-4	tásā / tásā̄
74	dish (pan)	MEA-Mumfu-3	tásā / ta̋sā̄
75	dog	NCC-Mumfu-4	dʒī / dʒí
76	dog	MEA-Mumfu-3	dʒī / dʒí
77	drum	NCC-Mumfu-4	kpán / kpán~ŋgàŋgáŋ / ŋgàŋgáŋ
78	drum	MEA-Mumfu-3	ŋgàŋgáŋ / ŋgàŋgǎːŋ
79	dry season	NCC-Mumfu-4	ɲɔ̀ʔm̩̀ / ɲɔ̀ʔm̩̀
80	dry season	MEA-Mumfu-3	ɲɔ̀mwɛ́ / ɲ́ɲɔ̂mwɛ́
81	dust	NCC-Mumfu-4	bʊ́l / bʊ́l
82	dust	MEA-Mumfu-3	bʊ́l / bʊ́l
